"system","epoch","load avg",,,"procs",,,"system",,"interrupts",,,,,,"io/sda",,"io/sr0",,"dsk/sda",,"dsk/sr0",,"memory usage",,,,"swap",,"paging",,"net/eth0",,"tcp sockets",,,,,"sockets",,,,,"virtual memory",,,,"file locks",,,,"async","filesystem",,"sysv ipc",,
"time","epoch","1m","5m","15m","run","blk","new","int","csw","4","12","14","15","25","26","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","used","free","in","out","recv","send","lis","act","syn","tim","clo","tot","tcp","udp","raw","frg","majpf","minpf","alloc","free","pos","lck","rea","wri","#aio","files","inodes","msg","sem","shm"
16-04 10:00:25,1492336825.921,0.040,0.040,0.050,0.000,0.0,2.963,104.812,198.620,0.162,0.004,1.877,0.982,65.338,0.001,0.272,1.229,0.001,0.0,7989.205,48461.046,3.790,0.0,405106688.0,909312.0,1443385344.0,1929486336.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,357.0,1.0,180.0,5.0,2.0,0.0,0.0,0.024,1182.357,585.269,599.805,5.0,3.0,0.0,8.0,2661.0,1120.0,68218.0,0.0,5.0,1.0
16-04 10:00:26,1492336826.922,0.040,0.040,0.050,0.0,0.0,2.0,93.0,278.0,0.0,0.0,4.0,2.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,16384.0,0.0,0.0,404455424.0,909312.0,1443393536.0,1930129408.0,0.0,0.0,0.0,0.0,1828.0,3455.0,6.0,2.0,0.0,357.0,0.0,177.0,5.0,1.0,0.0,0.0,0.0,2249.0,724.0,841.0,5.0,3.0,0.0,8.0,2661.0,1120.0,68205.0,0.0,5.0,1.0
16-04 10:00:27,1492336827.921,0.040,0.040,0.050,0.0,0.0,0.0,260.0,497.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,172032.0,0.0,0.0,404455424.0,909312.0,1443393536.0,1930129408.0,0.0,0.0,0.0,0.0,248.0,132.0,6.0,2.0,0.0,357.0,0.0,177.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,3.0,0.0,8.0,2661.0,1120.0,68205.0,0.0,5.0,1.0
16-04 10:00:28,1492336828.922,0.040,0.040,0.050,2.0,0.0,19.0,807.0,1388.0,0.0,0.0,4.0,2.0,261.0,0.0,0.0,2.0,0.0,0.0,0.0,11776.0,0.0,0.0,405377024.0,909312.0,1443393536.0,1929207808.0,0.0,0.0,0.0,0.0,78637.0,28298.0,6.0,3.0,0.0,358.0,0.0,180.0,6.0,1.0,0.0,0.0,0.0,8011.0,3073.0,2841.0,5.0,3.0,0.0,8.0,2661.0,1184.0,68239.0,0.0,5.0,1.0
16-04 10:00:29,1492336829.922,0.040,0.040,0.050,0.0,0.0,0.0,5912.0,11429.0,0.0,0.0,0.0,0.0,5440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405741568.0,909312.0,1443422208.0,1928814592.0,0.0,0.0,0.0,0.0,1685680.0,578450.0,6.0,3.0,0.0,387.0,0.0,180.0,6.0,1.0,0.0,0.0,0.0,16.0,5366.0,5269.0,5.0,3.0,0.0,8.0,2661.0,1184.0,68239.0,0.0,5.0,1.0
16-04 10:00:30,1492336830.921,0.040,0.040,0.050,1.0,0.0,0.0,5621.0,10901.0,0.0,0.0,0.0,2.0,5145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405725184.0,909312.0,1443422208.0,1928830976.0,0.0,0.0,0.0,0.0,1594311.0,548195.0,6.0,3.0,0.0,432.0,0.0,180.0,6.0,1.0,0.0,0.0,0.0,8.0,5000.0,4991.0,5.0,3.0,0.0,8.0,2661.0,1184.0,68239.0,0.0,5.0,1.0
16-04 10:00:31,1492336831.921,0.040,0.040,0.050,1.0,0.0,0.0,4963.0,9639.0,0.0,0.0,0.0,0.0,4548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405585920.0,909312.0,1443422208.0,1928970240.0,0.0,0.0,0.0,0.0,1410604.0,485672.0,6.0,3.0,0.0,476.0,0.0,180.0,6.0,1.0,0.0,0.0,0.0,4.0,4367.0,4406.0,5.0,3.0,0.0,8.0,2661.0,1184.0,68239.0,0.0,5.0,1.0
16-04 10:00:32,1492336832.922,0.040,0.040,0.050,0.0,0.0,0.0,5568.0,10772.0,0.0,0.0,0.0,2.0,5102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405585920.0,909312.0,1443422208.0,1928970240.0,0.0,0.0,0.0,0.0,1584003.0,543781.0,6.0,3.0,0.0,506.0,0.0,180.0,6.0,1.0,0.0,0.0,0.0,1.0,4977.0,4941.0,5.0,3.0,0.0,8.0,2661.0,1184.0,68239.0,0.0,5.0,1.0
16-04 10:00:33,1492336833.922,0.040,0.040,0.050,1.0,0.0,0.0,6023.0,11631.0,0.0,0.0,0.0,0.0,5613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405614592.0,909312.0,1443422208.0,1928941568.0,0.0,0.0,0.0,0.0,1743211.0,598230.0,6.0,3.0,0.0,542.0,0.0,180.0,6.0,1.0,0.0,0.0,0.0,4.0,5350.0,5439.0,5.0,3.0,0.0,8.0,2661.0,1184.0,68239.0,0.0,5.0,1.0
