"system","epoch","load avg",,,"procs",,,"system",,"interrupts",,,,,"io/sda",,"io/sr0",,"dsk/sda",,"dsk/sr0",,"memory usage",,,,"swap",,"paging",,"net/eth0",
"time","epoch","1m","5m","15m","run","blk","new","int","csw","4","12","14","15","25","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","used","free","in","out","recv","send"
09-04 14:50:52,1491749452.146,0.0,0.010,0.050,0.000,0.0,1.700,37.812,77.451,0.156,0.004,1.743,0.982,9.587,0.260,1.126,0.001,0.0,7714.022,46329.284,3.657,0.0,371417088.0,909312.0,1439363072.0,1967198208.0,0.0,0.0,0.0,0.0,0.0,0.0
09-04 14:50:53,1491749453.147,0.0,0.010,0.050,0.0,0.0,2.0,84.0,249.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370610176.0,909312.0,1439404032.0,1967964160.0,0.0,0.0,0.0,0.0,2128.0,3551.0
09-04 14:50:54,1491749454.147,0.0,0.010,0.050,0.0,0.0,0.0,38.0,84.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370610176.0,909312.0,1439404032.0,1967964160.0,0.0,0.0,0.0,0.0,196.0,132.0
09-04 14:50:55,1491749455.148,0.0,0.010,0.050,0.0,0.0,19.0,1281.0,2165.0,0.0,0.0,19.0,2.0,892.0,0.0,15.0,0.0,0.0,0.0,103936.0,0.0,0.0,372035584.0,909312.0,1439404032.0,1966538752.0,0.0,0.0,0.0,0.0,270533.0,94155.0
09-04 14:50:56,1491749456.147,0.0,0.010,0.050,0.0,0.0,0.0,6217.0,12018.0,0.0,0.0,0.0,0.0,5974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371892224.0,909312.0,1439436800.0,1966649344.0,0.0,0.0,0.0,0.0,1854711.0,637296.0
09-04 14:50:57,1491749457.148,0.0,0.010,0.050,0.0,0.0,0.0,4619.0,8938.0,0.0,0.0,0.0,2.0,4428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372019200.0,909312.0,1439436800.0,1966522368.0,0.0,0.0,0.0,0.0,1372258.0,472090.0
09-04 14:50:58,1491749458.149,0.0,0.010,0.050,0.0,0.0,0.0,5300.0,10275.0,0.0,0.0,0.0,0.0,5089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372146176.0,909312.0,1439436800.0,1966395392.0,0.0,0.0,0.0,0.0,1581381.0,543783.0
09-04 14:50:59,1491749459.147,0.0,0.010,0.050,0.0,0.0,0.0,5516.0,10680.0,0.0,0.0,0.0,2.0,5299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372129792.0,909312.0,1439436800.0,1966411776.0,0.0,0.0,0.0,0.0,1643935.0,566082.0
09-04 14:51:00,1491749460.147,0.0,0.010,0.050,0.0,0.0,0.0,5686.0,11012.0,0.0,0.0,0.0,0.0,5466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372117504.0,909312.0,1439436800.0,1966424064.0,0.0,0.0,0.0,0.0,1700484.0,584642.0
